RW74_S25_L002_R1_001	RW74_S25_L002_R2_001	L1_whole_rep3
RW75_S26_L002_R1_001	RW75_S26_L002_R2_001	L1_cells_rep3
RW76_S27_L002_R1_001	RW76_S27_L002_R2_001	L1_GFPplus_rep3
RW77_S28_L002_R1_001	RW77_S28_L002_R2_001	L1_GFPminus_rep3
RW78_S29_L002_R1_001	RW78_S29_L002_R2_001	L3_whole_rep1
RW79_S30_L002_R1_001	RW79_S30_L002_R2_001	L3_cells_rep1
RW80_S31_L002_R1_001	RW80_S31_L002_R2_001	L3_GFPplus_rep1
RW81_S32_L002_R1_001	RW81_S32_L002_R2_001	L3_GFPminus_rep1
RW82_S33_L002_R1_001	RW82_S33_L002_R2_001	L3_whole_rep2
RW83_S34_L002_R1_001	RW83_S34_L002_R2_001	L3_cells_rep2
RW84_S35_L002_R1_001	RW84_S35_L002_R2_001	L3_GFPminus_rep2
RW85_S36_L002_R1_001	RW85_S36_L002_R2_001	L3_GFPplus_rep2
RW86_S37_L002_R1_001	RW86_S37_L002_R2_001	L3_whole_rep3
RW87_S38_L002_R1_001	RW87_S38_L002_R2_001	L3_cells_rep3
RW88_S39_L002_R1_001	RW88_S39_L002_R2_001	L3_GFPplus_rep3
RW89_S40_L002_R1_001	RW89_S40_L002_R2_001	L3_GFPminus_rep3
